position,age,value
437.83,10086,2.09
437.88,10089,2.31
437.98,10095,2.11
438.03,10098,2.13
438.08,10101,1.89
438.13,10104,2.02
438.18,10107,2.03
438.23,10110,2.18
438.28,10113,2.22
438.33,10116,2.08
438.38,10119,2.34
438.43,10122,2.4
438.48,10125,2.34
438.53,10128,2.34
438.58,10131,2.32
438.63,10134,2.34
438.68,10137,2.23
438.72,10139,2.01
438.77,10142,2.24
438.82,10145,1.98
438.87,10148,2.19
438.92,10151,2.21
438.97,10154,2.27
439.02,10157,2.12
439.07,10160,2.08
439.12,10163,1.96
439.17,10166,2.12
439.22,10169,2.26
439.27,10172,2.22
439.32,10175,2.26
439.37,10178,2.16
439.42,10181,2.2
439.47,10184,2.03
439.52,10188,2.15
439.57,10191,2.01
439.62,10194,2.02
439.67,10197,2.1
439.72,10200,2.11
439.77,10203,2.19
439.82,10206,2.1
439.87,10209,2.16
439.92,10212,2.45
439.97,10215,1.98
440.02,10218,2.15
440.07,10221,1.93
440.12,10224,2.06
440.17,10227,1.94
440.22,10230,2.05
440.27,10233,2.34
440.32,10236,2.28
440.37,10239,2.13
440.42,10242,2.22
440.47,10245,2.14
440.57,10251,2.22
440.62,10254,2.23
440.67,10257,2.07
440.72,10260,2.22
440.77,10263,2.14
440.82,10266,2.2
440.87,10269,2.14
440.92,10272,2.1
440.97,10275,2.08
441.02,10278,2.1
441.07,10281,2.02
441.12,10284,2.1
441.17,10287,2.15
441.22,10290,2.14
441.27,10293,2.17
441.32,10296,2.32
441.37,10299,2.37
441.42,10302,2.33
441.47,10305,2.33
441.52,10308,2.5
441.57,10311,2.4
441.62,10314,2.35
441.67,10316,2.29
441.72,10318,2.15
441.77,10321,2.02
441.82,10323,2.05
441.87,10325,2.05
441.92,10328,2.15
441.97,10330,2.19
442.02,10333,2
442.07,10335,2.17
442.12,10337,2.1
442.17,10340,2.04
442.22,10342,1.9
442.27,10344,1.94
442.32,10347,1.99
442.37,10349,2.11
442.42,10351,2.19
442.47,10354,2.25
442.52,10356,2.17
442.57,10359,2.09
442.62,10361,2.05
442.67,10363,2.02
442.72,10366,2.04
442.77,10368,2.05
442.82,10370,2.21
442.92,10375,2.31
442.97,10378,2.29
443.02,10380,2.32
443.07,10382,2.37
443.12,10385,2.36
443.17,10387,2.31
443.22,10389,2.1
443.27,10392,2.3
443.32,10394,2.22
443.37,10396,2.28
443.43,10399,2
443.48,10402,2.42
443.53,10404,2.21
443.58,10406,2.2
443.63,10409,2.23
443.68,10411,2.15
443.73,10414,2.17
443.78,10416,2.11
443.83,10418,2.12
443.88,10421,2.17
443.93,10423,2.17
443.98,10425,2.13
444.03,10428,2.31
444.08,10430,2.28
444.13,10433,2.23
444.18,10435,2.24
444.23,10437,2.2
444.28,10440,2.16
444.33,10442,2.14
444.38,10444,2.12
444.43,10447,2.52
444.48,10449,2.15
444.53,10451,1.94
444.57,10453,2.12
444.62,10456,1.83
444.67,10458,1.97
444.72,10460,1.95
444.77,10462,1.89
444.82,10464,2.01
444.87,10466,2.06
444.92,10468,2.23
444.97,10469,2.24
445.02,10471,2.3
445.07,10473,2.1
445.12,10475,2.17
445.17,10477,2.21
445.22,10478,2.09
445.27,10480,2.1
445.32,10482,2.06
445.37,10484,2.08
445.42,10485,2.17
445.47,10487,2.11
445.52,10489,2.13
445.57,10491,2.08
445.62,10492,2.08
445.67,10494,2.05
445.72,10496,1.99
445.77,10498,2.05
445.82,10500,2.09
445.87,10501,2.12
445.92,10503,2.14
445.97,10505,2.3
446.02,10507,2.19
446.17,10512,2.19
446.22,10514,2.14
446.27,10515,2.08
446.32,10517,1.95
446.37,10519,2.14
446.42,10521,2
446.47,10523,2.17
446.52,10524,2.06
446.57,10526,2.07
446.62,10528,2.01
446.67,10530,2.03
446.72,10531,1.97
446.77,10533,1.93
446.82,10535,1.98
